Question,Equation,Type
"two spherical balls lie on the ground touching . if one of the balls has a radius of number0 cm , and the point of contact is number1 cm above the ground , what is the radius of the other ball ?",+ + number0  number1  number0,Physics
"one pipe can fill a tank three times as fast as another pipe . if together the two pipes can fill the tank in number0 minutes , then the slower pipe alone will be able to fill the tank in :",* + 1  4  number0,Physics
"each of the three people individually can complete a certain job in number0 , number1 , and number2 hours , respectively . what is the lowest fraction of the job that can be done in number3 hour by number4 of the people working together at their respective rates ?",+ / number3  number1  / number3  number2,Physics
"a man can row at number0 kmph in still water . if the velocity of current is number1 kmph and it takes him number1 hour to row to a place and come back , how far is the place ?",/ * - number0  number1  3  number0,Physics
"if number0 parallel lines in a plane is intersected by a family of another number1 parallel lines , how many parallelograms are there in the network thus formed ?",* / * number0  - number0  1  2  / * number1  - number1  1  2,Physics
"a man started driving at a constant speed , from the site of a blast , the moment he heard the blast . he heard a second blast after a time of number0 mins and number1 seconds . if the second blast occurred exactly number0 mins after the first , how many meters was he from the site when he heard the second blast ? ( speed of sound = number2 m / s )",* number2  number1,Physics
"number0 persons can repair a road in number1 days , working number2 hours a day . in how many days will number3 persons , working number4 hours a day , complete the work ?",/ * * number0  number1  number2  * number3  number4,Physics
"in an intercollegiate competition that lasted for number0 days , number1 students took part on day number2 , number3 on day number4 and number5 on day number0 . if number6 took part on day number2 and day number4 and number7 took part on day number4 and day number0 and number8 took part on all three days , how many students took part only on day number4 ?",- number1  + + number8  number6  / + number8  - number3  + + number6  number7  number8  number4,Physics
jim drove number0 miles of a number1 miles journey . how many more miles does he need to drive to finish his journey ?,- number1  number0,Physics
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . find the length of the train ?,* / * number0  1000  3600  number1,Physics
a train passes a station platform in number0 sec and a man standing on the platform in number1 sec . if the speed of the train is number2 km / hr . what is the length of the platform ?,* number1  * number2  0.2778,Physics
a rectangular grassy plot number0 m . by number1 m has a gravel path number2.number3 m wide all round it on the inside . find the cost of gravelling the path at number4 paise per sq . metre,/ * - * number0  number1  * - number0  * number2.number3  2  - number1  * number2.number3  2  number4  100,Physics
"in a number0 m race , sam beats john by number1 seconds . on the contrary , if sam allowed john to start number2 m ahead of sam , then sam and john reach the finishing point at the same time . how long does sam take to run the number0 m race ?",/ - number0  number2  number1,Physics
"when a train travels at a speed of number0 kmph , it reaches the destination on time . when the same train travels at a speed of number1 kmph , it reaches its destination number2 min late . what is the length of journey ?",* 60  / * / number2  60  number1  number1,Physics
number0 machines can do a work in number1 days . how many machines are needed to complete the work in number2 days ?,/ * number0  number1  number2,Physics
number0 different airplanes owned by a rock band will be refueling today at the same airport . there are number1 larger planes carrying people and number1 smaller planes carrying equipment . all tanks are empty and will need to be filled completely . the number1 smaller tanks hold number2 liters each and the larger tanks are number3 % bigger . fuel is . number3 cents a liter and there is a charge of $ number4 service for each plane . how much will it cost to fill all number0 planes ?,+ * number4  number0  * + * number1  number2  * number1  + / * number2  number3  number4  number2  / 1  2,Physics
a train number0 meters long takes number1 seconds to cross a man walking at number2 kmph in the direction opposite to that of the train . find the speed of the train .,- / number0  * number1  0.2778  number2,Physics
