Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,Grade,Type
Roadster 's Paving Company used number0 tons of cement to pave Lexi 's street and number1 tons of cement to pave Tess 's street . How much cement did Roadster 's Paving Company use in all ?,10.0 5.1,#NAME?,15.1,"[4, 5, 6, 14, 15, 16, 33, 34, 35]",Roadster 's Paving Company used number0 tons of cement to pave Lexi 's street and number1 tons of cement to pave Tess 's street .,How much cement did Roadster 's Paving Company use in all ?,,
"April 's discount flowers was having a sale where each flower was number0 dollars . If Maria bought number1 roses and number2 daisies , how much did she spend ?",6.0 7.0 3.0,* number0 + number1 number2,60,"[11, 12, 13, 17, 18, 19, 20, 21, 22, 26, 27, 28]","April 's discount flowers was having a sale where each flower was number0 dollars . If Maria bought number1 roses and number2 daisies ,",how much did she spend ?,,
"For the school bake sale Maria made number0 cupcakes . If she sold number1 of them and then made number2 more , how many cupcakes would she have ?",19.0 5.0 10.0,#NAME?,24,"[6, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 27]","For the school bake sale Maria made number0 cupcakes . If she sold number1 of them and then made number2 more ,",how many cupcakes would she have ?,,
"Sam had saved up number0 dollars . If he received another number1 dollars for his allowance , how many number2 dollar toys could he buy ?",8.0 7.0 3.0,/ + number0 number1 number2,5,"[3, 4, 5, 10, 11, 12, 18, 19, 20, 22, 23, 24]","Sam had saved up number0 dollars . If he received another number1 dollars for his allowance ,",how many number2 dollar toys could he buy ?,,
Arthur baked number0 muffins . James baked number1 times as many . How many muffins did James bake ?,115.0 12.0,* number0 number1,1380,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",Arthur baked number0 muffins . James baked number1 times as many .,How many muffins did James bake ?,,
There are number0 orchid bushes and number1 orange trees currently in the park . Park workers will plant number2 orchid bushes today . How many orchid bushes will the park have when the workers are finished ?,22.0 40.0 13.0,#NAME?,35,"[1, 2, 3, 5, 6, 7, 17, 18, 19, 33, 34, 35]",There are number0 orchid bushes and number1 orange trees currently in the park . Park workers will plant number2 orchid bushes today .,How many orchid bushes will the park have when the workers are finished ?,,
"For the school bake sale Chloe made number0 cupcakes . If she sold number1 of them and then made number2 more , how many cupcakes would she have ?",28.0 25.0 8.0,#NAME?,11,"[6, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 27]","For the school bake sale Chloe made number0 cupcakes . If she sold number1 of them and then made number2 more ,",how many cupcakes would she have ?,,
Nicholas starts with number0 bottle caps . He gets number1 more from Catherine . How many bottle caps does Nicholas end with ?,8.0 85.0,#NAME?,93,"[2, 3, 4, 8, 9, 10, 19, 20, 21]",Nicholas starts with number0 bottle caps . He gets number1 more from Catherine .,How many bottle caps does Nicholas end with ?,,
Jovana had number0 pounds of shells in her bucket . She added some shells and now has number1 pounds of shells . How many pounds did she add ?,5.0 28.0,#NAME?,23,"[1, 2, 3, 16, 17, 18, 25, 26, 27]",Jovana had number0 pounds of shells in her bucket . She added some shells and now has number1 pounds of shells .,How many pounds did she add ?,,
There are number0 dozen calories in a candy bar . How many calories are there in number1 candy bars ?,4.0 42.0,* * number0 12.0 number1,2016,"[1, 2, 3, 15, 16, 17, 16, 17, 18]",There are number0 dozen calories in a candy bar .,How many calories are there in number1 candy bars ?,,
Tim found number0 seashells and number1 starfish on the beach . He gave number2 of the seashells to Sara . How many seashells does Tim now have ?,679.0 110.0 172.0,#NAME?,507,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",Tim found number0 seashells and number1 starfish on the beach . He gave number2 of the seashells to Sara .,How many seashells does Tim now have ?,,
"Katie had number0 pages of math homework and number1 pages of reading homework . If each page had number2 problems on it , how many problems did she have to complete total ?",7.0 3.0 9.0,* number2 + number0 number1,90,"[1, 2, 3, 7, 8, 9, 17, 18, 19, 29, 30, 31]","Katie had number0 pages of math homework and number1 pages of reading homework . If each page had number2 problems on it ,",how many problems did she have to complete total ?,,
A restaurant made number0 hamburgers and number1 hot dogs to serve during lunch . Only number2 hamburgers were actually served . How many hamburgers were over ?,9.0 4.0 3.0,#NAME?,6,"[2, 3, 4, 5, 6, 7, 14, 15, 16, 23, 24, 25]",A restaurant made number0 hamburgers and number1 hot dogs to serve during lunch . Only number2 hamburgers were actually served .,How many hamburgers were over ?,,
"Adam earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them , how much money did he actually earn ?",9.0 12.0 8.0,* number0 - number1 number2,36,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 30, 31, 32]","Adam earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them ,",how much money did he actually earn ?,,
Joan has saved number0 quarters from washing cars . How many cents does Joan have ?,6,* number0 25.0,150,"[2, 3, 4, 14, 15, 16]",Joan has saved number0 quarters from washing cars .,How many cents does Joan have ?,,
"A furniture store marks up items number0 % . It the furniture store buys a couch for number1 dollars , what will the selling price be , in dollars ?",20.0 350.0,+ number1 * * number0 number1 0.01,420,"[5, 6, 7, 16, 17, 18, 26, 27, 28]","A furniture store marks up items number0 % . It the furniture store buys a couch for number1 dollars ,","what will the selling price be , in dollars ?",,
Sarah has number0 bottle caps . She buys number1 more . How many bottle caps does Sarah have in all ?,26.0 3.0,#NAME?,29,"[1, 2, 3, 7, 8, 9, 17, 18, 19]",Sarah has number0 bottle caps . She buys number1 more .,How many bottle caps does Sarah have in all ?,,
"At the beach , Miki and her sister both built sandcastles and then measured their heights . Miki 's sandcastle was number0 foot tall and her sister 's was number1 foot tall . How much taller was Miki 's sandcastle than her sister 's ?",0.8333333333333334 0.5,#NAME?,0.333333333,"[20, 21, 22, 28, 29, 30, 41, 42, 43]","At the beach , Miki and her sister both built sandcastles and then measured their heights . Miki 's sandcastle was number0 foot tall and her sister 's was number1 foot tall .",How much taller was Miki 's sandcastle than her sister 's ?,,
Cheryl starts with number0 Skittles . Kathryn gives Cheryl number1 more . How many Skittles does Cheryl end with ?,8.0 89.0,#NAME?,97,"[2, 3, 4, 8, 9, 10, 16, 17, 18]",Cheryl starts with number0 Skittles . Kathryn gives Cheryl number1 more .,How many Skittles does Cheryl end with ?,,
"Sam had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started , how many did he not wash ?",40.0 23.0 29.0,#NAME?,34,"[3, 4, 5, 8, 9, 10, 20, 21, 22, 33, 34, 35]","Sam had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started ,",how many did he not wash ?,,
"There are number0 children in the classroom , each student will get number1 dozen pencils . How many pencils will the teacher have to give out ?",46.0 4.0,* number0 * number1 12.0,2208,"[1, 2, 3, 11, 12, 13, 23, 24, 25]","There are number0 children in the classroom , each student will get number1 dozen pencils .",How many pencils will the teacher have to give out ?,,
"Albert ’ s cabbage patch has number0 rows of cabbage . In each row , there are number1 heads of cabbage . How many heads of cabbage does Albert have in all ?",12.0 15.0,* number0 number1,180,"[4, 5, 6, 15, 16, 17, 30, 31, 32]","Albert ’ s cabbage patch has number0 rows of cabbage . In each row , there are number1 heads of cabbage .",How many heads of cabbage does Albert have in all ?,,
There are number0 oranges in a box . Paula takes number1 oranges . How many are left ?,22.0 7.0,#NAME?,15,"[1, 2, 3, 9, 10, 11, 14, 15, 16]",There are number0 oranges in a box . Paula takes number1 oranges .,How many are left ?,,
"A home purchased for number0 dollars depreciated number1 % over a 1-year period . What was the value of the home after at the end of the year , in dollars ?",300000.0 8.0,- number0 * * number0 number1 0.01,276000,"[3, 4, 5, 6, 7, 8, 28, 29, 30]",A home purchased for number0 dollars depreciated number1 % over a 1-year period .,"What was the value of the home after at the end of the year , in dollars ?",,
"Kaleb bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Kaleb still have ?",14.0 5.0 6.0,* number2 - number0 number1,54,"[1, 2, 3, 8, 9, 10, 18, 19, 20, 28, 29, 30]","Kaleb bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it ,",how many pieces did Kaleb still have ?,,
"Kristi jogged for number0 of an hour , swam for number1 of an hour , and rode her bicycle for number2 of an hour . How long did she exercise ?",0.6 0.5 0.75,#NAME?,1.85,"[2, 3, 4, 9, 10, 11, 19, 20, 21, 27, 28, 29]","Kristi jogged for number0 of an hour , swam for number1 of an hour , and rode her bicycle for number2 of an hour .",How long did she exercise ?,,
Stephanie went to the store number0 times last month . She buys number1 oranges each time she goes to the store . How many oranges did Stephanie buy last month ?,8.0 2.0,* number0 number1,16,"[4, 5, 6, 11, 12, 13, 27, 28, 29]",Stephanie went to the store number0 times last month . She buys number1 oranges each time she goes to the store .,How many oranges did Stephanie buy last month ?,,
Darius drove number0 miles to visit his grandmother . Julia drove number1 miles to visit her grandmother . What is the total number of miles Darius and Julia drove ?,679.0 998.0,#NAME?,1677,"[1, 2, 3, 10, 11, 12, 28, 29, 30]",Darius drove number0 miles to visit his grandmother . Julia drove number1 miles to visit her grandmother .,What is the total number of miles Darius and Julia drove ?,,
"Bianca 's team won their dodgeball game and scored number0 points total . If Bianca scored number1 of the points and everyone else scored number2 points each , how many players were on her team ?",75.0 45.0 6.0,/ - number0 number1 number2,5,"[8, 9, 10, 15, 16, 17, 23, 24, 25, 32, 33, 34]","Bianca 's team won their dodgeball game and scored number0 points total . If Bianca scored number1 of the points and everyone else scored number2 points each ,",how many players were on her team ?,,
Kate has number0 pennies . John has number1 pennies . How many more pennies does John have ?,223.0 388.0,#NAME?,165,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Kate has number0 pennies . John has number1 pennies .,How many more pennies does John have ?,,
"Henry earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them , how much money did he actually earn ?",5.0 12.0 7.0,* number0 - number1 number2,25,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 30, 31, 32]","Henry earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them ,",how much money did he actually earn ?,,
"At the arcade , Jerry won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he spent number2 of his tickets on a hat , how many tickets does Jerry have left ?",29.0 17.0 12.0,#NAME?,34,"[5, 6, 7, 14, 15, 16, 25, 26, 27, 38, 39, 40]","At the arcade , Jerry won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he spent number2 of his tickets on a hat ,",how many tickets does Jerry have left ?,,
"Mary , Sam , Keith , and Alyssa each have number0 baseball cards . How many baseball cards do they have in all ?",6,* 4.0 number0,24,"[9, 10, 11, 22, 23, 24]","Mary , Sam , Keith , and Alyssa each have number0 baseball cards .",How many baseball cards do they have in all ?,,
