Problem,annotated_formula
"a fill pipe can fill number0 / number1 of cistern in number2 minutes . in how many minutes , it can fill number0 / number1 of the cistern ?","/(number2, number0)"
two cars a and b start from boston and new york respectively simultaneously and travel towards each other at constant speeds along the same route . after meeting at a point between boston and new york the two cars a and b proceed to their respective destinations of new york and boston . car a reaches new york number0 minutes after the two cars have met and car b reaches boston number1 minutes after they have met . how long did car a take to cover the distance between boston and new york ?,"+(*(√(/(number0, number1)), number1), number0)"
"a man can do a piece of work in number0 days , but with the help of his son , he can finish it in number1 days . in what time can the son do it alone ?","/(*(number0, number1), -(number0, number1))"
the speed of a boat in still water in number0 km / hr and the rate of current is number1 km / hr . the distance travelled downstream in number2 minutes is :,"*(+(number0, number1), /(number2, 60))"
"two cars are driving toward each other . the first car is traveling at a speed of number0 km / h , which is number1 % faster than the second car ' s speed . if the distance between the cars is number2 km , how many hours will it take until the two cars meet ?","/(+(*(number0, 4), *(/(*(4, number0), +(1, 4)), 4)), +(number0, /(*(4, number0), +(1, 4))))"
a tiger is chasing its prey at a constant speed . it entire body passes a blade of grass in number0 second . it then runs above a fallen tree trunk that is number1 meters long in number2 seconds . what is the length of the tiger ?,"/(number1, -(number2, number0))"
"number0 / number1 th of a job is completed in number2 days . if a person works at the same pace , how many days will he take to complete the job ?","*(*(-(1, /(number0, number1)), number2), /(number1, number0))"
a car is running at a speed of number0 kmph . what distance will it cover in number1 sec ?,"*(/(number0, 3_6), number1)"
"jack and christina are standing number0 feet apart on a level surface . their dog , lindy , is standing next to christina . at the same time , they all begin moving toward each other . jack walks in a straight line toward christina at a constant speed of number1 feet per second and christina walks in a straight line toward jack at a constant speed of number2 feet per second . lindy runs at a constant speed of number3 feet per second from christina to jack , back to christina , back to jack , and so forth . what is the total distance , in feet , that lindy has traveled when the three meet at one place ?","*(/(number0, +(number1, number2)), number3)"
"the h . c . f and l . c . m of two numbers are number0 and number1 respectively . if one number lies between number2 and number3 , then that number is","*(√(/(*(number0, number1), number3)), number3)"
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . find the length of the train ?,"*(/(*(number0, 1000), 3600), number1)"
"michael earns $ number0.00 per hour for the first number2 hours he works per week , and twice this rate for overtime . if michael earned $ number3 last week , how many hours did he work ?","+(/(number2, *(number0, 2)), number2)"
steve traveled the first number0 hours of his journey at number1 mph and the remaining number2 hours of his journey at number3 mph . what is his average speed for the entire journey ?,"+(/(+(*(number3, number2), *(number1, number0)), +(number2, number0)), -(/(100, number2), 0.33))"
"maxwell leaves his home and walks toward brad ' s house . one hour later , brad leaves his home and runs toward maxwell ' s house . if the distance between their homes is number0 kilometers , maxwell ' s walking speed is number1 km / h , and brad ' s running speed is number2 km / h . what is the total time it takes maxwell before he meets up with brad ?","/(+(number0, number2), +(number1, number2))"
"excluding stoppages , the speed of a train is number0 kmph and including stoppages it is number1 kmph . of how many minutes does the train stop per hour ?","-(60, *(60, /(number1, number0)))"
"if a child walks at the rate of number0 m / min from his home , he is number1 minutes late for school , if he walks at the rate of number2 m / min he reaches half an hour earlier . how far is his school from his home ?","/(+(*(60, /(1, 2)), number1), -(/(1, number0), /(1, number2)))"
a train passes a station platform in number0 sec and a man standing on the platform in number1 sec . if the speed of the train is number2 km / hr . what is the length of the platform ?,"*(number1, *(number2, 0.2778))"
"a number0 cm long wire is to be cut into two pieces so that one piece will be number1 / number2 th of the other , how many centimeters will the shorter piece be ?","-(number0, /(number0, +(/(number1, number2), 1)))"
the speed of a train is number0 kmph . what is the distance covered by it in number1 minutes ?,"*(/(number1, 60), number0)"
"if number0 typists can type number1 letters in number2 minutes , then how many letters will number3 typists working at the same rate complete in number4 hour ?","*(/(*(number1, 3), number0), number3)"
a person can row at number0 kmph and still water . he takes number1 number2 / number3 hours to row from a to b and back . what is the distance between a and b if the speed of the stream is number2 kmph ?,"/(*(*(-(number0, number2), +(number0, number2)), number1), +(+(number0, number2), -(number0, number2)))"
i travel the first part of my journey at number0 kmph and the second part at number1 kmph and cover the total distance of number2 km to my destination in number3 hours . how long did the first part of my journey last,"/(-(*(number1, number3), number2), -(number1, number0))"
"if number0 cats can kill number0 rats in number0 minutes , how long will it take number1 cats to kill number1 rats ?","*(number0, 1)"
how many seconds will a number0 m long train take to cross a man walking with a speed of number1 km / hr in the direction of the moving train if the speed of the train is number2 km / hr ?,"/(number0, *(-(number2, number1), 0.2778))"
"john can complete a given task in number0 days . jane will take only number1 days to complete the same task . john and jane set out to complete the task by beginning to work together . however , jane was indisposed number2 days before the work got over . in how many days did the work get over from the time john and jane started to work on it together ?","+(number2, /(-(*(number0, number1), *(number1, number2)), +(number1, number0)))"
